,country,year,d_osv,preds_proba
0,United States of America,2017,1,0.32647840102951964
1,United States of America,2018,1,0.38047342714782995
2,United States of America,2019,0,0.37689948153397446
3,United States of America,2020,0,0.3103359883980131
4,United States of America,2021,0,0.31522484593492717
5,United States of America,2022,0,0.30311342107700395
6,United States of America,2023,0,0.3087376059786333
7,Canada,2017,0,0.020259880332255235
8,Canada,2018,0,0.026524624065905427
9,Canada,2019,0,0.02783228786563238
10,Canada,2020,0,0.03313867305459059
11,Canada,2021,0,0.048782392599109485
12,Canada,2022,0,0.052680991369531624
13,Canada,2023,0,0.05789155349107746
14,Cuba,2017,0,0.004091468028706107
15,Cuba,2018,0,0.00430752341474667
16,Cuba,2019,0,0.004101695391261271
17,Cuba,2020,0,0.00454138055408084
18,Cuba,2021,0,0.005346421607481076
19,Cuba,2022,0,0.024423385965960498
20,Cuba,2023,0,0.02446569418739281
21,Haiti,2017,1,0.08771051910244271
22,Haiti,2018,1,0.20009678716615092
23,Haiti,2019,1,0.2118267725990948
24,Haiti,2020,1,0.2568174163204807
25,Haiti,2021,1,0.29012856723478675
26,Haiti,2022,1,0.32584441391118985
27,Haiti,2023,1,0.3229626081836131
28,Dominican Republic,2017,0,0.00850367097623573
29,Dominican Republic,2018,0,0.01567839430186494
30,Dominican Republic,2019,0,0.023049858053066252
31,Dominican Republic,2020,0,0.016353679689528812
32,Dominican Republic,2021,0,0.019873459603287378
33,Dominican Republic,2022,0,0.022566495243699122
34,Dominican Republic,2023,0,0.035507329573262976
35,Jamaica,2017,0,0.0013878962261395299
36,Jamaica,2018,0,0.001129917049869719
37,Jamaica,2019,0,0.004930309867084103
38,Jamaica,2020,0,0.0010037345391603592
39,Jamaica,2021,0,0.0012271757040241643
40,Jamaica,2022,0,0.021884877559583495
41,Jamaica,2023,0,0.09831782601193592
42,Trinidad and Tobago,2017,0,0.002031588080045175
43,Trinidad and Tobago,2018,0,0.002031588080045175
44,Trinidad and Tobago,2019,0,0.009759773947811152
45,Trinidad and Tobago,2020,0,0.010750785597760694
46,Trinidad and Tobago,2021,0,0.004445791240856351
47,Trinidad and Tobago,2022,0,0.004197122448823169
48,Trinidad and Tobago,2023,0,0.01885376552736868
49,Barbados,2017,0,0.03167659917478323
50,Barbados,2018,0,0.028769312852986274
51,Barbados,2019,0,0.09212080372561443
52,Barbados,2020,0,0.11158903104106974
53,Barbados,2021,0,0.004109652736909089
54,Barbados,2022,0,0.07340488493169806
55,Barbados,2023,0,0.05850662291186591
56,Mexico,2017,1,0.8536480302119991
57,Mexico,2018,1,0.8047603915532475
58,Mexico,2019,1,0.7719911312300294
59,Mexico,2020,1,0.7717345428170914
60,Mexico,2021,1,0.669111239668147
61,Mexico,2022,1,0.5934619538351583
62,Mexico,2023,1,0.5628856627427019
63,Guatemala,2017,0,0.10760226827003477
64,Guatemala,2018,0,0.10373640932041853
65,Guatemala,2019,0,0.11051087939262075
66,Guatemala,2020,0,0.07391234475026619
67,Guatemala,2021,0,0.1430278010282783
68,Guatemala,2022,0,0.1589207514293837
69,Guatemala,2023,0,0.18822342915371737
70,Honduras,2017,0,0.18633378453125055
71,Honduras,2018,0,0.16050356741169247
72,Honduras,2019,1,0.11197472817538062
73,Honduras,2020,0,0.23416443524222377
74,Honduras,2021,1,0.14595619674180704
75,Honduras,2022,1,0.21022532966224183
76,Honduras,2023,1,0.22541450821561598
77,El Salvador,2017,0,0.02745823875880251
78,El Salvador,2018,0,0.09852752515837024
79,El Salvador,2019,1,0.04257301319097563
80,El Salvador,2020,0,0.16897101060799669
81,El Salvador,2021,1,0.07788150178630457
82,El Salvador,2022,1,0.1619030467679779
